ACCOUNT NUMBER,DATE,DESCRIPTION,debit_clean,credit_clean,balance_clean,Amount,Z_score,LeadingDigit,Rounded,Precision,Mean,Median,StdDev,K_means Cluster,Cluster Label,Weekend,Holiday,EvenDollar
,2024-08-27,Deliveroo Lunch,14.99,,3823.76,14.99,-0.23,1,False,0.9900000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-08-30,Client Meeting,124.0,,3947.76,124.0,2.67,1,True,0.0,23.77,14.99,37.58,1,Medium,False,False,False
,2024-08-30,Snack from Harrods,6.06,,3953.82,6.06,-0.47,6,False,0.05999999999999961,23.77,14.99,37.58,0,Low,False,False,False
,2024-08-30,Lunch,24.15,,3977.97,24.15,0.01,2,False,0.14999999999999858,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-01,Lunch - Lions Prep,2.82,,3980.79,2.82,-0.56,2,False,0.8199999999999998,23.77,14.99,37.58,0,Low,True,False,False
,2024-09-01,Lunch at Itsu,11.93,,3992.72,11.93,-0.32,1,False,0.9299999999999997,23.77,14.99,37.58,0,Low,True,False,False
,2024-09-01,Deliveroo,15.58,,4008.3,15.58,-0.22,1,False,0.5800000000000001,23.77,14.99,37.58,0,Low,True,False,False
,2024-09-04,Lunch at Deliveroo,14.95,,4023.25,14.95,-0.24,1,False,0.9499999999999993,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-05,Lunch at Deliveroo,15.39,,4038.64,15.39,-0.22,1,False,0.39000000000000057,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-06,Lunch at Itsu,6.75,,4045.39,6.75,-0.45,6,False,0.75,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-06,Lunch at UberEats,16.43,,4061.82,16.43,-0.2,1,False,0.4299999999999997,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-07,Lunch at Itsu,8.15,,4069.97,8.15,-0.42,8,False,0.15000000000000036,23.77,14.99,37.58,0,Low,True,False,False
,2024-09-09,Lunch at Itsu,6.25,,4076.22,6.25,-0.47,6,False,0.25,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-11,Lunch at Itsu,6.75,,4082.97,6.75,-0.45,6,False,0.75,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-11,Lunch at Itsu,6.75,,4089.72,6.75,-0.45,6,False,0.75,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-11,Breakfast Deliveoo,14.53,,4104.25,14.53,-0.25,1,False,0.5299999999999994,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-12,Lunch Deliveoo,42.49,,4146.74,42.49,0.5,4,False,0.490000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-09-13,Lunch Deliveoo,19.82,,4166.56,19.82,-0.11,1,False,0.8200000000000003,23.77,14.99,37.58,0,Low,False,False,False
